Kanji|English|Utility|Use
召|summon|7|1540
床|bed|7|1175
焦|scorch|7|973
称|appellation|7|985
詳|detailed|7|1178
丈|stout|7|1375
冗|redundant|7|1782
浄|sacred|7|1383
畳|tatami|7|1665
飾|decorate|7|1193
触|touch|7|904
伸|stretch|7|730
寝|go to sleep|7|1034
振|swing|7|614
辛|pungent|7|1607
刃|blade|7|1763
尽|exhaust|7|1234
吹|blow|7|1133
是|correctness|7|1045
姓|surname|7|1628
請|solicit|7|524
斉|uniformity|7|1209
惜|regret|7|1641
鮮|fresh|7|355
疎|estrange|7|1572
粗|coarse|7|1689
双|pair|7|1029
騒|clamor|7|1069
憎|hate|7|1808
贈|gift|7|1001
即|immediately|7|1167
俗|popular|7|1610
駄|horseload|7|1500
耐|withstand|7|1295
怠|lazy|7|1703
替|exchange|7|979
滞|stagnation|7|1107
袋|sack|7|1125
卓|table|7|1348
沢|marsh|7|296
託|entrust|7|1021
諾|consent|7|1490
脱|take off|7|782
淡|light-flavored|7|1436
端|extremity|7|960
弾|bullet|7|853
恥|shame|7|1575
致|incur|7|870
遅|late|7|833
逐|one by one|7|2230
駐|stationed|7|955
徴|symptom|7|850
眺|gaze|7|1726
超|super-|7|597
超||7|597
沈|submerge|7|1271
珍|rare|7|1330
帝|emperor|7|1276
廷|court|7|1439
締|tighten|7|797
泥|mud|7|1589
添|append|7|1501
殿|palace|7|1199
塗|paint|7|1414
渡|cross over|7|446
途|way|7|717
奴|guy|7|1932
怒|anger|7|1221
倒|topple|7|791
凍|freeze|7|1284
棟|ridge|7|1406
盗|steal|7|1051
到|reach|7|1032
踏|tread|7|723
逃|escape|7|931
透|transparent|7|1035
闘|struggle|7|751
胴|torso|7|1904
突|dash|7|521
豚|pig|7|1864
曇|cloudy|7|1899
鈍|dull|7|1574
軟|soft|7|1269
如|as if|7|1704
悩|suffer|7|1084
濃|concentrated|7|1200
廃|abolish|7|698
杯|wine cup|7|1235
泊|stay overnight|7|1233
薄|thin|7|1009
爆|explode|7|735
肌|skin|7|1559
髪|hair|7|1474
罰|punish|7|1220
抜|pull out|7|726
伴|accompany|7|886
般|category|7|649
範|model|7|1088
卑|vulgar|7|2003
彼|he|7|648
疲|tired|7|1263
被|undergo|7|431
避|avoid|7|756
尾|tail|7|875
微|microscopic|7|1108
怖|scary|7|1325
敷|lay|7|1212
普|widespread|7|757
浮|float|7|776
符|tally|7|1798
舞|dance|7|655
柄|handle|7|1140
壁|wall|7|1037
崩|crumble|7|778
邦|home country|7|654
飽|fed up|7|1780
坊|boy|7|1832
帽|headgear|7|1742
忙|busy|7|1475
房|chamber|7|808
僕|I|7|1236
又|again|7|1874
妙|marvelous|7|1122
眠|sleep|7|1315
娘|daughter|7|1145
滅|perish|7|1222
免|exempt|7|1080
網|net|7|1194
黙|silence|7|1338
戻|give back|7|890
唯|only|7|1292
憂|anxious|7|1625
誘|induce|7|993
与|give|7|308
踊|dance|7|1308
頼|ask|7|708
離|separate|7|555
了|understand|7|792
涼|cool|7|1783
隣|neighboring|7|1083
恋|love|7|1296
郎|young man|7|569
腕|arm|7|1163
亜|sub-|8|1509
亜||8|1509
握|grip|8|1003
宛|address|8|0
闇|black market|8|1969
依|depend|8|906
威|authority|8|1103
慰|console|8|1158
為|do|8|831
畏|obey respectfully|8|2389
稲|rice plant|8|1038
浦|inlet|8|977
援|help|8|312
炎|flame|8|1242
煙|smoke|8|1290
縁|relation|8|1291
艶|charm|8|2207
殴|beat|8|1622
憶|memory|8|1324
俺|I|8|1946
嫁|bride|8|1581
暇|leisure|8|1386
稼|earn|8|1264
箇|item|8|0
華|magnificent|8|1085
雅|elegant|8|1192
介|mediate|8|617
壊|break down|8|727
怪|mysterious|8|1634
悔|repent|8|1460
戒|admonish|8|1062
概|in general|8|1335
蓋|lid|8|2388
核|nucleus|8|475
殻|shell|8|1892
獲|catch game|8|964
郭|enclosed area|8|1670
括|bundle up|8|1026
渇|thirst|8|1944
滑|slide|8|1238
冠|crown|8|1503
勘|consideration|8|1494
喚|scream|8|1120
堪|endure|8|1953
寛|generosity|8|1377
患|ill|8|796
敢|daring|8|1859
歓|joy|8|1065
環|ring|8|409
監|supervise|8|408
肝|liver|8|1118
貫|penetrate|8|1156
還|return|8|910
鑑|appraise|8|1391
閑|leisure|8|1994
陥|lapse into|8|1154
含|contain|8|466
頑|stubborn|8|1247
企|project|8|278
忌|abstain|8|1882
既|already|8|1081
棄|discard|8|901
祈|prayer|8|1462
軌|track|8|1480
輝|glitter|8|1259
偽|falsify|8|1171
宜|suitable|8|1766
戯|jest|8|1880
擬|imitation|8|1990
欺|deceive|8|1541
喫|snack|8|1347
却|remove|8|959
脚|leg|8|1228
虐|tyrannize|8|1464
朽|decay|8|1891
窮|predicament|8|1756
糾|inquire|8|1820
拒|refuse|8|863
拠|grounds|8|858
距|distance|8|1191
凶|bad luck|8|1673
叫|shout|8|1426
峡|gorge|8|1833
恭|reverent|8|1737
挟|put between|8|1870
矯|straighten|8|2105
脅|threaten|8|1183
仰|look up|8|1573
凝|congeal|8|1712
暁|dawn|8|1924
緊|exigent|8|677
菌|bacteria|8|1586
謹|respectfully|8|2068
愚|stupid|8|1551
偶|even number|8|1602
遇|treat|8|1343
隅|corner|8|1601
屈|bend|8|1434
掘|dig|8|1257
靴|boots|8|1561
繰|reel|8|872
勲|medal|8|1513
薫|aroma|8|1849
啓|enlight|8|1403
憩|repose|8|1731
掲|hoist|8|899
茎|stalk|8|2013
鶏|chicken|8|1901
隙|gap|8|0
傑|outstanding|8|1926
倹|frugal|8|2479
懸|hang|8|889
献|donation|8|637
肩|shoulder|8|1215
賢|wisdom|8|1159
軒|eaves|8|1416
遣|dispatch|8|664
幻|phantom|8|1564
弦|bowstring|8|1773
玄|abstruse|8|1409
孤|orphan|8|1239
弧|arc|8|2371
枯|wither|8|1749
誇|pride|8|1272
雇|employ|8|975
顧|look back|8|1058
鼓|drum|8|1795
呉|do for somebody|8|1729
悟|enlightenment|8|1411
坑|mine-pit|8|2040
孔|aperture|8|2052
巧|skillful|8|1537
慌|panic|8|1826
抗|anti-|8|666
抗||8|666
拘|in spite of|8|1336
控|notes|8|1000
攻|attack|8|532
更|renew|8|861
江|Chinese river|8|704
洪|flood|8|1778
溝|ditch|8|1736
甲|carapace|8|1073
硬|hard|8|1101
絞|strangle|8|1288
綱|cable|8|1053
衡|equilibrium|8|1847
貢|tribute|8|956
購|purchase|8|945
郊|suburb|8|1304
項|clause|8|884
剛|rigid|8|1576
豪|extraordinary|8|1104
克|overcome|8|1333
酷|cruel|8|1596
獄|prison|8|1529
腰|waist|8|1306
頃|about|8|2015
恨|grudge|8|1877
懇|cordial|8|1135
詐|deceive|8|1511
鎖|chain|8|1250
債|debt|8|728
催|hold a meeting|8|536
栽|planting|8|1496
砕|crush|8|1579
斎|purification|8|1155
咲|blossom|8|1534
搾|squeeze|8|2046
索|cord|8|1127
錯|confused|8|1740
撮|photograph|8|1023
擦|rub|8|1485
傘|umbrella|8|1694
惨|tragic|8|1463
暫|a while|8|1112
伺|inquire|8|2209
施|carry out|8|323
旨|purport|8|1166
脂|fat|8|1548
賜|grant|8|2190
雌|female animal|8|1951
侍|samurai|8|1939
慈|affection|8|1811
軸|axle|8|1261
執|execute|8|800
疾|disease|8|1577
芝|lawn|8|1052
赦|amnesty|8|1868
斜|oblique|8|1504
煮|boil|8|1565
遮|obstruct|8|1865
邪|wicked|8|1612
酌|serve sake|8|2271
釈|elucidation|8|1097
寂|lonely|8|1599
狩|hunt|8|1785
珠|pearl|8|1711
需|demand|8|935
囚|prisoner|8|2107
愁|sorrow|8|2171
秀|excel|8|848
臭|stink|8|1760
舟|boat|8|1786
襲|assault|8|1130
蹴|kick|8|2377
酬|repay|8|1515
醜|ugly|8|2074
充|fill up|8|949
汁|soup|8|1843
渋|astringent|8|1011
獣|beast|8|1714
銃|gun|8|1013
叔|uncle or aunt|8|1950
粛|purge|8|1549
塾|coaching school|8|1297
俊|outstanding person|8|1007
准|junior|8|1441
循|circulation|8|1699
潤|moist|8|1644
盾|shield|8|1476
叙|describe|8|1954
徐|slowly|8|1470
償|recompense|8|854
匠|craftsman|8|1718
奨|encourage|8|1445
尚|still more|8|1531
抄|excerpts|8|2328
掌|palm|8|1757
昇|raise|8|826
沼|swamp|8|1467
渉|relations|8|499
症|syndrome|8|1111
粧|makeup|8|1545
肖|resemblance|8|1889
衝|impact|8|972
剰|besides|8|1448
譲|cede|8|984
錠|lock|8|1934
殖|multiply|8|1362
辱|humiliate|8|1769
侵|invade|8|1025
審|court trial|8|412
浸|soak|8|1447
診|medical examination|8|1019
震|earthquake|8|893
尋|inquire|8|1398
甚|tremendously|8|1961
陣|battle formation|8|828
炊|cook|8|1777
睡|sleep|8|1739
粋|refined|8|1768
衰|decline|8|1432
遂|accomplish|8|1423
酔|drunk|8|1640
随|arbitrary|8|1396
髄|marrow|8|1652
据|install|8|1468
澄|limpid|8|1722
瀬|rapids|8|1152
凄|terrific|8|2313
誓|oath|8|1567
隻|only one|8|1546
戚|relative|8|0
斥|repulse|8|2231
析|analysis|8|980
籍|domicile|8|907
脊|spine|8|2299
跡|trace|8|953
摂|regent|8|1779
占|occupy|8|694
扇|fan|8|1805
栓|stopper|8|2199
潜|dive|8|1329
旋|whirl|8|1801
繕|mend|8|2195
訴|appeal|8|427
喪|mourning|8|885
壮|vigorous|8|1657
掃|sweep|8|1255
挿|insert|8|1908
葬|funeral|8|754
藻|seaweed|8|2124
賊|robber|8|2045
胎|embryo|8|1861
滝|waterfall|8|1478
択|select|8|847
濁|turbid|8|1883
奪|deprive|8|974
棚|shelf|8|1594
誰|who|8|1933
丹|red lead|8|1402
壇|dais|8|1512
痴|imbecility|8|1663
稚|childish|8|1560
畜|livestock|8|1824
蓄|store up|8|1260
弔|condole|8|1840
彫|carve|8|1533
懲|chastisement|8|1303
聴|listen|8|781
跳|jump|8|1716
鎮|quell|8|1617
陳|set forth|8|1323
漬|pickle|8|1818
潰|crush|8|0
爪|claw|8|2025
釣|angling|8|1542
亭|restaurant|8|1627
偵|detective|8|1857
貞|chastity|8|1389
呈|present|8|1571
抵|resist|8|1182
艇|small boat|8|1433
諦|give up|8|2457
逓|relay|8|1957
邸|mansion|8|905
摘|pick out|8|564
滴|drop|8|2019
哲|philosopher|8|1093
吐|disgorge|8|1674
塔|tower|8|1708
筒|tube|8|1631
藤|wisteria|8|291
陶|pottery|8|1680
洞|cave|8|1618
峠|mountain pass|8|1941
督|command|8|534
屯|military camp|8|1980
頓|sudden|8|0
匂|smell|8|2213
忍|ninja|8|1700
猫|cat|8|1702
粘|sticky|8|1410
把|bundle|8|1569
覇|supremacy|8|1173
婆|old woman|8|2435
排|discharge|8|1047
輩|fellow|8|1365
培|cultivate|8|1431
媒|go-between|8|1900
伯|earl|8|1741
剥|peel|8|2383
拍|clap|8|1373
迫|urge|8|773
縛|bind|8|1764
鉢|flowerpot|8|1890
伐|chop down|8|1816
閥|clique|8|1072
帆|sail|8|1923
斑|spot|8|2165
汎|pan-|8|2014
汎||8|2014
繁|thrive|8|1198
販|marketing|8|627
煩|troublesome|8|2081
盤|disk|8|881
蛮|savage|8|2339
罷|stop working|8|2104
匹|animals|8|1384
姫|young lady|8|1566
漂|drift|8|1492
描|depict|8|876
浜|Yokohama|8|645
頻|frequently|8|1590
敏|agile|8|1042
瓶|bottle|8|1528
扶|financial support|8|1879
腐|rot|8|1225
譜|sheet music|8|1919
賦|installment|8|0
封|sealing|8|1143
封|fief|8|1143
封||8|1143
伏|lie down|8|1604
幅|width|8|641
覆|cover|8|1378
払|pay|8|813
沸|boil|8|1709
噴|erupt|8|1270
紛|confused|8|994
幣|currency|8|1803
弊|evil|8|1750
癖|habit|8|1973
蔑|despise|8|2483
偏|one-sided|8|1340
遍|ubiquitous|8|1845
舗|pave|8|1412
捕|capture|8|604
募|recruit|8|809
慕|adore|8|2100
簿|record book|8|1358
俸|salary|8|1834
奉|dedicate|8|1624
抱|hug|8|871
砲|cannon|8|1268
縫|sew|8|1723
芳|fragrant|8|1302
褒|praise|8|2073
乏|scanty|8|1646
傍|beside|8|1660
某|a certain|8|2106
冒|risk|8|1317
謀|conspire|8|1370
墨|India ink|8|1616
没|vanish|8|1385
翻|rearrange|8|1465
凡|mediocre|8|1730
盆|tray|8|1654
摩|friction|8|1252
磨|polish|8|1608
魔|demon|8|1514
麻|hemp|8|1142
埋|bury|8|1110
膜|membrane|8|1804
抹|pulverize|8|2006
慢|arrogant|8|1368
漫|casual|8|1408
魅|charm|8|1206
矛|spear|8|1538
銘|inscription|8|1394
妄|thoughtless|8|2264
猛|fierce|8|1301
盲|blind|8|1767
耗|wear out|8|0
紋|crest|8|1519
厄|misfortune|8|2123
躍|leap|8|900
幽|ghost|8|1996
雄|male animal|8|669
融|finance|8|481
誉|honor|8|1064
揚|hoist|8|1316
揺|shake|8|1079
擁|support|8|1213
溶|dissolve|8|1364
抑|hold down|8|834
翼|wing|8|1201
羅|thin silk|8|1831
裸|naked|8|1796
雷|thunder|8|1491
絡|interlink|8|806
嵐|storm|8|1910
欄|column|8|1523
濫|excessive|8|0
吏|official|8|0
履|put on footware|8|1619
粒|particle|8|1635
竜|dragon|8|1195
慮|deliberate|8|916
僚|colleague|8|709
寮|dormitory|8|1705
猟|hunting|8|1851
療|treatment|8|600
糧|provisions|8|1354
倫|morals|8|1322
塁|rampart|8|651
涙|tears|8|1381
累|accumulate|8|1662
励|encourage|8|1254
鈴|small bell|8|880
零|zero|8|1217
霊|spirit|8|1458
麗|lovely|8|1758
齢|age|8|770
暦|calendar|8|1765
劣|inferior|8|1620
烈|vehement|8|1397
裂|tear|8|1041
廉|incorruptible|8|2066
錬|temper|8|2221
呂|bath|8|2055
炉|furnace|8|1359
露|dew|8|928
廊|corridor|8|1598
弄|trifle|8|0
楼|high building|8|2173
浪|ramble|8|1508
漏|leak|8|1298
賄|cater|8|1282
脇|one's side|8|1806
惑|perplexity|8|777
枠|frame|8|922
湾|bay|8|545
丼|bowl|8|2088
鬱|melancholy|8|0
挨|greeting|9|2258
尉|junior officer|9|2007
椅|chair|9|2245
維|maintenance|9|643
緯|latitude|9|1430
萎|wither|9|0
芋|potato|9|2418
咽|be choked|9|0
淫|lewd|9|0
韻|rhyme|9|2148
臼|mortar|9|2048
渦|vortex|9|1789
唄|song|9|2051
餌|bait|9|2277
詠|poetry|9|2000
疫|epidemic|9|1661
悦|delight|9|1762
閲|review|9|1855
宴|banquet|9|1675
怨|malice|9|2137
猿|monkey|9|1772
鉛|lead|9|1710
凹|concave|9|2206
欧|Europe|9|421
翁|venerable|9|2064
臆|timid|9|0
卸|wholesale|9|1520
穏|moderate|9|1535
佳|beautiful|9|1643
寡|few|9|2035
架|rack|9|1555
禍|calamity|9|2010
苛|torment|9|0
菓|sweets|9|1719
蚊|mosquito|9|2121
牙|tusk|9|2067
餓|hunger|9|1754
塊|lump|9|1800
崖|cliff|9|0
慨|lament|9|1875
涯|limits|9|1525
該|said|9|1648
垣|fence|9|1539
柿|persimmon|9|1745
岳|peak|9|1334
顎|jaw|9|0
喝|roar|9|1858
葛|arrowroot|9|1547
轄|jurisdiction|9|1771
釜|iron pot|9|1761
鎌|sickle|9|1587
刈|clip|9|1738
瓦|tile|9|1850
憾|remorse|9|1682
棺|coffin|9|2161
款|article|9|1854
汗|sweat|9|1502
艦|warship|9|1363
韓|South Korea|9|445
玩|toy|9|2216
棋|chess|9|1311
飢|hunger|9|1659
騎|equestrian|9|1696
亀|turtle|9|1353
菊|chrysanthemum|9|1287
享|receive|9|1893
僅|no more than|9|0
巾|cloth|9|0
錦|brocade|9|1440
琴|guqin|9|1591
襟|collar|9|2030
吟|chant|9|1956
駆|gallop|9|1033
駒|chessman|9|1452
串|skewer|9|2139
窟|cavern|9|0
桑|mulberry|9|1650
稽|think|9|2372
蛍|firefly|9|2031
詣|pilgrimage|9|0
鯨|whale|9|1486
桁|girder|9|0
拳|fist|9|1935
謙|modest|9|1582
鍵|key|9|2029
股|thigh|9|2212
虎|tiger|9|1653
碁|the game of go|9|1609
喉|throat|9|2390
恒|permanent|9|1314
梗|infarction|9|0
稿|manuscript|9|1400
肯|assent|9|1813
酵|yeast|9|1862
昆|insect|9|1688
痕|scar|9|1958
紺|dark blue|9|1825
沙|sand|9|1897
挫|sprain|9|1869
塞|plug|9|0
宰|superintend|9|1597
采|dice|9|0
柵|stockade|9|0
拶|greeting|9|0
嗣|successor|9|2310
紫|purple|9|1516
肢|limbs|9|2289
諮|consult|9|1345
叱|scold|9|2255
嫉|jealousy|9|2317
漆|lacquer|9|1971
蛇|snake|9|1721
爵|peerage|9|0
朱|cinnabar|9|1788
殊|distinguished|9|1361
腫|tumor|9|2145
儒|Confucianism|9|2162
呪|curse|9|2131
淑|graceful|9|1922
旬|ten days|9|1162
殉|self-sacrifice|9|2080
庶|numerous|9|1558
升|unit of capacity|9|2077
宵|early evening|9|2262
晶|crystal|9|1613
硝|saltpeter|9|2154
礁|reef|9|1977
祥|good omen|9|1273
紹|introduce|9|963
鐘|big bell|9|1681
壌|soil|9|1407
嬢|young lady|9|2059
醸|brew|9|1838
嘱|entrust|9|1903
拭|wipe|9|2421
尻|buttocks|9|1692
唇|lips|9|1992
娠|pregnancy|9|1623
慎|prudent|9|999
紳|gentleman|9|1790
薪|firewood|9|2182
腎|kidney|9|1755
酢|vinegar|9|1955
帥|supreme command|9|2016
崇|revere|9|1970
枢|pivot|9|1791
杉|cryptomeria|9|1095
征|go to war|9|1578
醒|wake up|9|0
拙|clumsy|9|1938
窃|steal|9|1871
仙|wizard|9|1157
煎|boil down|9|2458
繊|fiber|9|1451
羨|envy|9|0
腺|gland|9|0
薦|recommend|9|1082
詮|avail|9|0
践|practice|9|1570
遷|transfer|9|1937
漸|gradually|9|2115
禅|Zen Buddhism|9|1902
膳|dining table|9|2120
塑|sculpt|9|0
措|lay aside|9|818
曽|great-grand-|9|1320
曽||9|1320
狙|aim at|9|745
礎|cornerstone|9|1224
租|lease|9|2089
阻|obstruct|9|1280
僧|bonze|9|1724
爽|refreshing|9|2333
捜|search|9|592
曹|sergeant|9|1998
槽|tub|9|1809
燥|dry up|9|1819
痩|thin|9|0
荘|villa|9|1489
霜|hoarfrost|9|2151
促|accelerate|9|998
袖|sleeve|9|1960
遜|humility|9|0
汰|selection|9|0
唾|saliva|9|0
堕|degenerate|9|2087
妥|compromise|9|1102
惰|inertia|9|2336
泰|tranquility|9|1281
逮|arrest|9|766
拓|reclaim|9|1526
濯|rinse|9|1698
嘆|sigh|9|1584
旦|new day|9|0
綻|open seam|9|0
胆|gallbladder|9|1449
鍛|forge|9|1793
窒|suffocation|9|1776
嫡|legitimate|9|2130
抽|extract|9|1437
衷|inner feelings|9|2229
鋳|cast|9|2005
挑|provoke|9|989
勅|imperial|9|2157
捗|make progress|9|0
津|harbor|9|1036
墜|crash down|9|1466
椎|vertebra|9|1911
塚|mound|9|869
鶴|crane|9|1369
堤|dike|9|1658
訂|revise|9|1690
溺|drown|9|0
徹|go through|9|968
撤|withdraw|9|811
填|fill in|9|0
貼|paste|9|2444
妬|jealousy|9|0
賭|gamble|9|1989
唐|Tang dynasty|9|1727
悼|mourn|9|1645
搭|embarkation|9|1472
桃|peach|9|1784
痘|smallpox|9|0
騰|rise in prices|9|1420
匿|conceal|9|2024
篤|devoted|9|1942
凸|convex|9|2143
謎|riddle|9|2021
鍋|pan|9|1810
尼|nun|9|1844
虹|rainbow|9|2110
尿|urine|9|1672
妊|pregnant|9|1413
寧|polite|9|1697
捻|twist|9|0
罵|revile|9|2467
陪|take part|9|1917
舶|liner|9|1753
漠|vast|9|1611
箸|chopsticks|9|2156
搬|transportation|9|1664
畔|waterside|9|2049
藩|clan|9|1896
妃|princess|9|1752
扉|hinged door|9|1866
披|open out|9|1438
泌|secretion|9|2112
碑|tombstone|9|1792
眉|eyebrow|9|2177
膝|knee|9|2320
肘|elbow|9|0
苗|seedling|9|1713
賓|guest of honor|9|1677
赴|proceed to|9|1649
侮|insult|9|2004
憤|resent|9|1863
併|together|9|966
穂|spike|9|1656
峰|summit|9|1836
泡|foam|9|1872
胞|placenta|9|1379
蜂|bee|9|2223
妨|hinder|9|1482
紡|spin|9|1876
膨|expand|9|1293
頬|cheek|9|2424
撲|give a blow|9|1283
朴|naive|9|1626
勃|sudden rise|9|0
奔|bustle|9|1884
昧|ignorant|9|0
枕|pillow|9|2084
繭|cocoon|9|2495
岬|cape|9|1972
蜜|honey|9|2203
霧|fog|9|1747
婿|son-in-law|9|2099
冥|hades|9|2349
麺|noodles|9|2331
茂|luxuriant|9|1188
餅|rice cake|9|2152
冶|metallurgy|9|0
弥|all the more|9|1687
柳|willow|9|1169
愉|pleasant|9|1974
癒|wound-healing|9|1667
諭|admonish|9|1461
悠|leisurely|9|1921
湧|gush out|9|2070
裕|ample|9|1048
妖|fairy|9|1964
庸|mediocre|9|2038
酪|dairy products|9|2012
硫|sulphur|9|1867
隆|thrive|9|1109
虜|captive|9|1678
陵|imperial tomb|9|1746
隷|slave|9|2009
賂|bribe|9|0
傲|arrogance|9|0
喩|metaphor|9|0
嗅|sniff|9|2480
嘲|deride|9|0
彙|vocabulary|9|0
瘍|ulcer|9|0
箋|notepaper|9|0
籠|basket|9|0
羞|bashful|9|0
貪|avarice|9|0
壱|one|10|2351
姻|matrimony|10|1985
謁|audience|10|0
旺|names of companies|10|2342
乙|second|10|1841
拐|kidnap|10|1498
劾|impeach|10|2085
骸|corpse|10|0
嚇|menace|10|2141
穫|harvest|10|1642
較|compare|10|1172
褐|brown|10|2186
且|moreover|10|0
伎|Kabuki|10|0
畿|capital suburbs|10|1683
犠|sacrifice|10|1189
斤|catty|10|0
虞|anxiety|10|0
渓|ravine|10|2063
舷|gunwale|10|0
娯|amusement|10|1827
乞|beg|10|2478
侯|marquis|10|2363
勾|kidnap|10|0
拷|torture|10|2057
墾|reclaim|10|0
唆|instigate|10|1278
桟|plank road|10|2093
斬|cut down|10|2132
祉|welfare|10|1063
璽|Imperial seal|10|0
遵|obey|10|0
彰|public recognition|10|1310
訟|litigation|10|1061
詔|imperial edict|10|2239
芯|core|10|2202
迅|swift|10|1888
須|must|10|1339
裾|hemline|10|2334
畝|ridge|10|2327
牲|sacrifice|10|1274
逝|pass away|10|2018
遡|upstream|10|0
遭|encounter|10|1554
捉|seize|10|1976
堆|heap|10|2184
戴|accept|10|2332
但|proviso|10|2404
秩|regularity|10|1275
酎|shochu|10|0
朕|Imperial We|10|0
坪|tsubo|10|1823
迭|alternation|10|1907
斗|dipper|10|1885
謄|copying|10|2295
憧|aspire|10|2259
瞳|pupil of the eye|10|2069
那|Naha|10|1621
弐|two|10|0
賠|compensate|10|1243
氾|inundation|10|0
頒|share with|10|2287
膚|skin|10|1679
附|attach|10|2396
墳|tumulus|10|1822
雰|atmosphere|10|1341
丙|third|10|0
塀|fence|10|1991
蔽|cover up|10|0
倣|imitate|10|2454
剖|dissection|10|1918
肪|fat|10|1878
貌|appearance|10|0
睦|friendly|10|1993
堀|canal|10|1285
猶|postpone|10|1799
窯|kiln|10|2072
謡|popular song|10|1580
沃|iodine|10|0
藍|indigo|10|2043
璃|lapis lazuli|10|0
痢|diarrhea|10|2037
侶|companion|10|0
瞭|obvious|10|0
厘|trifle|10|1835
瑠|lapis lazuli|10|2352
麓|mountain foot|10|2366
刹|temple|10|0
哺|suckle|10|2461
毀|damage|10|0
恣|selfishness|10|2325
惧|apprehension|10|2097
慄|shudder|10|0
憬|aspire|10|0
拉|crush|10|0
摯|sincere|10|2170
曖|ambiguous|10|0
楷|square character style|10|0
璧|jewel disk|10|0
緻|detailed|10|2460
訃|obituary|10|2379
諧|euphony|10|0
踪|traces|10|0
辣|bitter|10|0
錮|imprisonment|10|0
